Sucursal,Nuevo_Sistema,Cajero,ID_Transaccion,Transaccion,Tiempo_Servicio_seg,Satisfaccion,Monto
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Bueno,3423.4
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Muy Malo,2848.01
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Muy Bueno,859.58
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Muy Malo,2529.79
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Regular,1953.16
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Malo,1032.34
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Malo,1284.64
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Muy Bueno,2261.2
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Bueno,739.14
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Regular,3253.26
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Muy Bueno,1558.6
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Muy Bueno,1608.34
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Muy Bueno,3082.59
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Muy Malo,2013.98
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Bueno,764.4
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Muy Bueno,2805.19
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Regular,3818.85
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Bueno,2283.67
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Regular,2581.91
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Bueno,479.67
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),46,Malo,1557.54
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),46,Malo,2600.29
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),46,Bueno,856.84
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),46,Bueno,2146.15
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),46,Malo,1305.72
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),46,Malo,2946.78
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),46,Regular,1110.15
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),46,Regular,1277.23
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),46,Muy Malo,2785.09
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),46,Malo,533.79
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),46,Bueno,2554.36
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),46,Muy Malo,615.31
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),47,Regular,2997.93
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),47,Muy Bueno,2248.5
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),47,Regular,2503.14
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),47,Muy Malo,1005.83
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),48,Muy Bueno,2812.97
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),48,Malo,974.65
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),48,Muy Bueno,2337.8
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),48,Bueno,1736.54
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),48,Regular,1467.92
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),48,Bueno,2651.64
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),48,Muy Bueno,2027.53
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),48,Malo,3522.12
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),49,Regular,1802.87
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),49,Muy Bueno,451.32
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),49,Malo,516.9
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),49,Regular,889.91
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),49,Malo,2534.38
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),50,Regular,3073
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),50,Regular,1573.97
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),50,Malo,2982.26
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),51,Muy Bueno,2335.51
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),51,Malo,2083.86
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),51,Malo,2027.66
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),53,Muy Bueno,2557.13
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),54,Malo,2648.86
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),54,Muy Bueno,1192.22
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),54,Malo,2347.65
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),55,Bueno,3541.39
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),56,Muy Bueno,2481.22
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),56,Muy Bueno,1633.13
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),56,Muy Malo,1291.17
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),57,Malo,2490.52
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),57,Bueno,738.06
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),58,Malo,1549.84
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),58,Regular,1486.55
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),58,Muy Bueno,2104.1
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),58,Regular,404.53
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),59,Bueno,2022.94
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),59,Bueno,883.04
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),59,Malo,2065.25
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),59,Regular,1876.16
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),59,Muy Malo,2417.12
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),60,Bueno,537
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),61,Bueno,3594.39
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),63,Muy Malo,3489.72
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),63,Muy Bueno,2665.86
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),63,Muy Malo,1211.04
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),64,Muy Malo,3483.7
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),65,Regular,2279.14
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),65,Malo,2419.24
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),66,Malo,1163.14
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),66,Malo,2458
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),66,Regular,2432.85
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),66,Muy Bueno,1927.65
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),67,Muy Malo,871.26
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),68,Bueno,3247.23
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),68,Muy Malo,1967.89
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),69,Muy Bueno,2233.42
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),70,Muy Bueno,1933.62
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),70,Malo,1989.87
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),71,Malo,1278.3
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),73,Bueno,2595.59
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),73,Bueno,978.14
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),73,Bueno,1651.09
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),74,Bueno,1392.88
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),76,Regular,839.24
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),80,Malo,2074.68
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),80,Muy Malo,1368.96
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),84,Regular,1323.21
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),84,Muy Malo,1861.56
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),88,Muy Malo,1175.51
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),95,Malo,2429.6
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),107,Muy Bueno,753.4
Paseo Shopping Portoviejo,No,4820,3,Deposito,46,Muy Bueno,2103
Paseo Shopping Portoviejo,No,4820,3,Deposito,46,Bueno,2433.67
Paseo Shopping Portoviejo,No,4820,3,Deposito,46,Bueno,1531.48
Paseo Shopping Portoviejo,No,4820,3,Deposito,46,Bueno,1578.78
Paseo Shopping Portoviejo,No,4820,3,Deposito,46,Bueno,2059.76
Paseo Shopping Portoviejo,No,4820,3,Deposito,47,Bueno,1773.76
Paseo Shopping Portoviejo,No,4820,3,Deposito,47,Muy Bueno,139.49
Paseo Shopping Portoviejo,No,4820,3,Deposito,47,Malo,2462.24
Paseo Shopping Portoviejo,No,4820,3,Deposito,48,Muy Bueno,1478.74
Paseo Shopping Portoviejo,No,4820,3,Deposito,48,Regular,1428.14
Paseo Shopping Portoviejo,No,4820,3,Deposito,48,Muy Malo,2540.42
Paseo Shopping Portoviejo,No,4820,3,Deposito,48,Bueno,1717.7
Paseo Shopping Portoviejo,No,4820,3,Deposito,48,Muy Malo,2122.46
Paseo Shopping Portoviejo,No,4820,3,Deposito,48,Muy Bueno,2023.12
Paseo Shopping Portoviejo,No,4820,3,Deposito,48,Regular,1524.36
Paseo Shopping Portoviejo,No,4820,3,Deposito,48,Muy Malo,1250.96
Paseo Shopping Portoviejo,No,4820,3,Deposito,48,Bueno,2000.89
Paseo Shopping Portoviejo,No,4820,3,Deposito,48,Muy Bueno,220.07
Paseo Shopping Portoviejo,No,4820,3,Deposito,48,Muy Bueno,3063.61
Paseo Shopping Portoviejo,No,4820,3,Deposito,49,Regular,2166.81
Paseo Shopping Portoviejo,No,4820,3,Deposito,49,Malo,912.88
Paseo Shopping Portoviejo,No,4820,3,Deposito,49,Muy Bueno,2484.82
Paseo Shopping Portoviejo,No,4820,3,Deposito,49,Regular,3651.71
Paseo Shopping Portoviejo,No,4820,3,Deposito,49,Malo,2672.99
Paseo Shopping Portoviejo,No,4820,3,Deposito,49,Malo,1510.12
Paseo Shopping Portoviejo,No,4820,3,Deposito,49,Muy Bueno,1889.14
Paseo Shopping Portoviejo,No,4820,3,Deposito,49,Bueno,662.36
Paseo Shopping Portoviejo,No,4820,3,Deposito,49,Muy Bueno,924.14
Paseo Shopping Portoviejo,No,4820,3,Deposito,49,Bueno,715.25
Paseo Shopping Portoviejo,No,4820,3,Deposito,49,Malo,2527.99
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Regular,637.15
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Bueno,1592.54
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Muy Bueno,1969.1
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Muy Bueno,1401.47
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Bueno,2153.97
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Malo,817.99
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Muy Bueno,2164.99
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Malo,1972.59
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Muy Bueno,2376.56
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Bueno,1680.57
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Muy Malo,975.46
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Muy Malo,2235.81
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Muy Bueno,1749.33
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Regular,613.32
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Regular,878.52
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Muy Bueno,2110.52
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Muy Bueno,1509.36
Paseo Shopping Portoviejo,No,4820,3,Deposito,50,Muy Malo,1518.01
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Bueno,706.02
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Malo,1598.42
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Regular,2343.96
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Muy Malo,2086.05
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Malo,569.56
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Muy Bueno,2325.53
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Muy Bueno,1495.21
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Muy Malo,446.48
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Muy Bueno,2145.99
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Bueno,1789.11
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Muy Bueno,2082.53
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Bueno,447.25
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Malo,1285.2
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Bueno,2218.4
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Muy Bueno,2015.91
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Regular,1896.19
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Malo,1571.41
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Malo,1681.56
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Bueno,2373.73
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Bueno,1014.53
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Muy Bueno,522.14
Paseo Shopping Portoviejo,No,4820,3,Deposito,51,Muy Bueno,2640.66
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Regular,2060.55
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Muy Malo,602.42
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Malo,1202.37
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Regular,3023.6
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Bueno,1339.94
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Malo,623.94
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Malo,2269.91
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Bueno,2369.52
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Malo,2208.62
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Muy Malo,469.74
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Malo,2222.21
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Muy Bueno,1264.1
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Bueno,2164.07
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Muy Malo,2449.42
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Muy Bueno,1894.34
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Regular,2936.57
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Bueno,2198.66
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Muy Bueno,1326.89
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Malo,2548.45
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Muy Malo,561.92
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Bueno,2359.02
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Bueno,1826.49
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Muy Bueno,1272.63
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Malo,1687.81
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Bueno,1042.9
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Bueno,918.52
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Bueno,1643.07
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Regular,1331.85
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Regular,1020.44
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Bueno,1035.09
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Bueno,1609.31
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Muy Bueno,602.95
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Bueno,1537.65
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Bueno,765.79
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Malo,2199.25
Paseo Shopping Portoviejo,No,4820,3,Deposito,52,Regular,1859.56
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Regular,2388.27
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Muy Bueno,758.25
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Regular,1031.94
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Malo,252.67
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Muy Bueno,2066.79
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Malo,2063.53
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Regular,2076.95
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Bueno,1101.01
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Regular,1354.44
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Bueno,2068.95
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Bueno,1813.13
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Muy Bueno,1781.85
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Muy Bueno,1169.09
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Muy Bueno,866.25
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Malo,1975.19
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Bueno,501.74
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Muy Bueno,1766.35
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Muy Bueno,1139
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Malo,992.47
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Malo,2341.67
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Malo,2610.46
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Bueno,890.15
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Bueno,2721.92
Paseo Shopping Portoviejo,No,4820,3,Deposito,53,Regular,1859.41
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Bueno,1955.68
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Bueno,975.44
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Malo,1584.84
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Malo,2744.92
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Muy Bueno,596.67
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Muy Bueno,1399.25
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Bueno,1456.78
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Malo,1372.01
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Muy Bueno,1516.57
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Malo,615.63
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Bueno,3380.91
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Bueno,2461.82
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Malo,805.33
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Bueno,1564.26
Paseo Shopping Portoviejo,No,4820,3,Deposito,54,Regular,2047.49
